Unnamed: 0,time,title,Tuples,s,p,o,sp,po,spo,open price change,close price change
10981,20130814  5:28PM UTC,"Analysis: With balloons and fiber, Google experiments in Web access","('Analysis', 'is With', 'balloons')",Analysis,is With,balloons,Analysis is With,is With balloons,Analysis is With balloons,-4.2142030000000545,-5.698638999999957
10985,20130815  9:00AM UTC,"Google Is Either Lying To The Court Or To The Public, Consumer Watchdog Says","('Google', 'Is Lying To', 'Consumer Watchdog Says')",Google,Is Lying To,Consumer Watchdog Says,Google Is Lying To,Is Lying To Consumer Watchdog Says,Google Is Lying To Consumer Watchdog Says,-6.938995000000034,-5.056030000000021
10987,20130818  6:00AM UTC,Googleâs Answer to British Lawsuit: Your Privacy Laws Donât Touch us,"('€', 's', 'Answer to British Lawsuit')",€,s,Answer to British Lawsuit,€ s,s Answer to British Lawsuit,€ s Answer to British Lawsuit,-1.7783509999999865,4.353667999999971
10988,20130819  9:00AM UTC,Mutualink Unveils Google Glass for Public Safety,"('Mutualink', 'Unveils', 'Google Glass for Public Safety')",Mutualink,Unveils,Google Glass for Public Safety,Mutualink Unveils,Unveils Google Glass for Public Safety,Mutualink Unveils Google Glass for Public Safety,-1.7783509999999865,4.353667999999971
10989,20130820  5:00AM UTC,OBJE App Revenues Rise as Google Play Overtakes Apple,"('Google Play', 'Overtakes', 'Apple')",Google Play,Overtakes,Apple,Google Play Overtakes,Overtakes Apple,Google Play Overtakes Apple,5.300139999999942,-0.11456299999997555
10990,20130821  7:28PM UTC,Google in early talks with NFL on 'Sunday Ticket' service: report,"('Google', 'is in', ""early talks with NFL on Sunday Ticket ' service"")",Google,is in,early talks with NFL on Sunday Ticket ' service,Google is in,is in early talks with NFL on Sunday Ticket ' service,Google is in early talks with NFL on Sunday Ticket ' service,1.145721999999978,1.947693000000072
10991,20130821  7:14PM UTC,UPDATE 1-Google in early talks with NFL on 'Sunday Ticket' service -report,"('early talks', 'is with', 'NFL')",early talks,is with,NFL,early talks is with,is with NFL,early talks is with NFL,1.145721999999978,1.947693000000072
10992,20130821  1:33PM UTC,Google in early talks with NFL on 'Sunday Ticket' service -AllThingsD,"('early talks', 'is with', 'NFL')",early talks,is with,NFL,early talks is with,is with NFL,early talks is with NFL,1.145721999999978,1.947693000000072
10993,20130821  11:44AM UTC,"Continental AG, Google to work on self-driving cars - report","('Google', 'work on', 'driving cars report')",Google,work on,driving cars report,Google work on,work on driving cars report,Google work on driving cars report,1.145721999999978,1.947693000000072
10994,20130821  11:36AM UTC,"Continental AG, Google to work on self-driving cars-report","('Google', 'work on', 'driving cars report')",Google,work on,driving cars report,Google work on,work on driving cars report,Google work on driving cars report,1.145721999999978,1.947693000000072
10995,20130821  7:03AM UTC,Microsoft offers ad-free Bing for the classroom to battle Google,"('Microsoft', 'offers', 'Bing for classroom')",Microsoft,offers,Bing for classroom,Microsoft offers,offers Bing for classroom,Microsoft offers Bing for classroom,1.145721999999978,1.947693000000072
10996,20130821  6:17AM UTC,Microsoft offers ad-free Bing for the classroom to battle Google,"('Microsoft', 'offers', 'Bing for classroom')",Microsoft,offers,Bing for classroom,Microsoft offers,offers Bing for classroom,Microsoft offers Bing for classroom,1.145721999999978,1.947693000000072
10997,20130822  3:06PM UTC,Consumer Watchdog Joins EPIC In Opposing $8.5 Million Settlement In Google Suit,"('Consumer Watchdog Joins EPIC', 'is In', 'Opposing $ 8.5 Million Settlement')",Consumer Watchdog Joins EPIC,is In,Opposing $ 8.5 Million Settlement,Consumer Watchdog Joins EPIC is In,is In Opposing $ 8.5 Million Settlement,Consumer Watchdog Joins EPIC is In Opposing $ 8.5 Million Settlement,1.0211490000000367,2.1818229999999517
10998,20130822  6:00AM UTC,Acacia Subsidiary Enters into Settlement Agreement with Google Inc.,"('Settlement Agreement', 'is with', 'Google Inc.')",Settlement Agreement,is with,Google Inc.,Settlement Agreement is with,is with Google Inc.,Settlement Agreement is with Google Inc.,1.0211490000000367,2.1818229999999517
10999,20130823  11:13AM UTC,Northern California's First Google Business Photos Trusted Agency,"('Northern California', 'has', 'First Google Business Photos')",Northern California,has,First Google Business Photos,Northern California has,has First Google Business Photos,Northern California has First Google Business Photos,2.555419000000029,-1.7434379999999692
11000,20130823  8:03AM UTC,Google buys patents on virtual image technology from Hon Hai,"('Google', 'buys patents from', 'Hon Hai')",Google,buys patents from,Hon Hai,Google buys patents from,buys patents from Hon Hai,Google buys patents from Hon Hai,2.555419000000029,-1.7434379999999692
11001,20130823  7:58AM UTC,Google buys patents on virtual image technology from Hon Hai,"('Google', 'buys patents from', 'Hon Hai')",Google,buys patents from,Hon Hai,Google buys patents from,buys patents from Hon Hai,Google buys patents from Hon Hai,2.555419000000029,-1.7434379999999692
11002,20130826  12:57PM UTC,Asphalt 8: Airborne Races the Front of the Pack on the App Store and Google Play in Record Time,"('App Store', 'is in', 'Record Time')",App Store,is in,Record Time,App Store is in,is in Record Time,App Store is in Record Time,-3.9003600000000915,-1.902893000000006
11006,20130826  4:00AM UTC,Mobistar: Mobistar extends payment for applications via mobile invoice to Google Play,"('Mobistar', 'extends payment for', 'applications via invoice')",Mobistar,extends payment for,applications via invoice,Mobistar extends payment for,extends payment for applications via invoice,Mobistar extends payment for applications via invoice,-3.9003600000000915,-1.902893000000006
11008,20130827  1:06PM UTC,"Binary Options App and Forex Signals App By ITM Financial Combine For Over 5,000 Downloads In Google Play and Apple ITunes Store.","('Binary Options App Signals', 'App By', 'ITM Financial')",Binary Options App Signals,App By,ITM Financial,Binary Options App Signals App By,App By ITM Financial,Binary Options App Signals App By ITM Financial,-5.170622999999921,-8.089661000000035
11010,20130827  6:09AM UTC,BRIEF-UK's Office of Fair Trading to look into Google-Waze deal,"(""BRIEF UK 's Office"", 'look into', 'Google Waze deal')",BRIEF UK 's Office,look into,Google Waze deal,BRIEF UK 's Office look into,look into Google Waze deal,BRIEF UK 's Office look into Google Waze deal,-5.170622999999921,-8.089661000000035
11016,20130828  9:00AM UTC,Google Apps Admins Win with Cumulus Global / BetterCloud Partnership,"('Google Apps', 'is with', 'Cumulus Global BetterCloud Partnership')",Google Apps,is with,Cumulus Global BetterCloud Partnership,Google Apps is with,is with Cumulus Global BetterCloud Partnership,Google Apps is with Cumulus Global BetterCloud Partnership,-4.667511000000047,-0.7970280000000116
11017,20130829  12:52PM UTC,China's Xiaomi poaches Google's Barra to power global drive,"('Google', 'has', 'Barra')",Google,has,Barra,Google has,has Barra,Google has Barra,-0.5877990000000182,3.4271550000000843
11018,20130829  12:48PM UTC,China's Xiaomi poaches Google's Barra to power global drive,"('Google', 'has', 'Barra')",Google,has,Barra,Google has,has Barra,Google has Barra,-0.5877990000000182,3.4271550000000843
11019,20130829  7:53PM UTC,Google's C-suite soap opera,"('Google', 'has', 'C suite soap opera')",Google,has,C suite soap opera,Google has,has C suite soap opera,Google has C suite soap opera,-0.5877990000000182,3.4271550000000843
11021,20130830  6:29PM UTC,Justice Department talks with Microsoft and Google stall,"('Justice Department', 'talks with', 'Microsoft')",Justice Department,talks with,Microsoft,Justice Department talks with,talks with Microsoft,Justice Department talks with Microsoft,3.3325190000000475,-4.249054000000001
11022,20130830  6:26PM UTC,Justice Department talks with Microsoft and Google stall,"('Justice Department', 'talks with', 'Microsoft')",Justice Department,talks with,Microsoft,Justice Department talks with,talks with Microsoft,Justice Department talks with Microsoft,3.3325190000000475,-4.249054000000001
11023,20130830  5:48PM UTC,"Google acquires smartwatch software maker WIMM Labs, report says","('Google', 'acquires', 'smartwatch software maker WIMM Labs')",Google,acquires,smartwatch software maker WIMM Labs,Google acquires,acquires smartwatch software maker WIMM Labs,Google acquires smartwatch software maker WIMM Labs,3.3325190000000475,-4.249054000000001
11025,20130903  7:38PM UTC,Ride service Uber hires new CFO from Google,"('Ride service Uber', 'hires CFO from', 'Google')",Ride service Uber,hires CFO from,Google,Ride service Uber hires CFO from,hires CFO from Google,Ride service Uber hires CFO from Google,-0.6973879999999895,6.714812999999992
11026,20130903  7:36PM UTC,CORRECTED-Ride service Uber hires new CFO from Google,"('Ride service Uber', 'hires CFO from', 'Google')",Ride service Uber,hires CFO from,Google,Ride service Uber hires CFO from,hires CFO from Google,Ride service Uber hires CFO from Google,-0.6973879999999895,6.714812999999992
