Unnamed: 0,time,title,Tuples,s,p,o,sp,po,spo,open price change,close price change
0,20070103 04:07 PM EST,Google's biggest bull sets $630 share price target,"('Google', 'has', 'biggest bull sets')",Google,has,biggest bull sets,Google has,has biggest bull sets,Google has biggest bull sets,1.9427179999999566,3.5417170000000056
1,20070103 09:18 AM EST,UPDATE 1-RESEARCH ALERT-Stifel places Google on select list,"('select list', 'on places is', 'Google')",select list,on places is,Google,select list on places is,on places is Google,select list on places is Google,1.9427179999999566,3.5417170000000056
2,20070104 06:00 PM EST,Google says bought stake in China's Xunlei,"('Google', 'says', ""bought stake in China 's Xunlei"")",Google,says,bought stake in China 's Xunlei,Google says,says bought stake in China 's Xunlei,Google says bought stake in China 's Xunlei,1.494400000000013,7.805741000000012
3,20070104 04:19 PM EST,Google says bought stake in China's Xunlei,"('Google', 'says', ""bought stake in China 's Xunlei"")",Google,says,bought stake in China 's Xunlei,Google says,says bought stake in China 's Xunlei,Google says bought stake in China 's Xunlei,1.494400000000013,7.805741000000012
4,20070104 03:48 AM EST,"Google, China Mobile cooperate on search services","('Google', 'cooperate on', 'search services')",Google,cooperate on,search services,Google cooperate on,cooperate on search services,Google cooperate on search services,1.494400000000013,7.805741000000012
5,20070105 01:31 AM EST,Google says bought stake in China's Xunlei,"('Google', 'says', ""bought stake in China 's Xunlei"")",Google,says,bought stake in China 's Xunlei,Google says,says bought stake in China 's Xunlei,Google says bought stake in China 's Xunlei,6.724793000000005,1.9576570000000402
6,20070108 05:08 PM EST,Google tops Fortune list of best U.S. places to work,"('Google', 'tops', 'Fortune list of best U.S. places')",Google,tops,Fortune list of best U.S. places,Google tops,tops Fortune list of best U.S. places,Google tops Fortune list of best U.S. places,2.585312000000016,-1.7982490000000269
7,20070108 02:25 PM EST,Google tops Fortune list of best places to work,"('Google', 'tops', 'Fortune list of places')",Google,tops,Fortune list of places,Google tops,tops Fortune list of places,Google tops Fortune list of places,2.585312000000016,-1.7982490000000269
8,20070110 03:50 PM EST,Google book search adds five Catalonian libraries,"('Google book search', 'adds', 'five Catalonian libraries')",Google book search,adds,five Catalonian libraries,Google book search adds,adds five Catalonian libraries,Google book search adds five Catalonian libraries,-0.5080879999999866,1.972610000000003
9,20070115 06:59 PM EST,"Google, Yahoo gain share in U.S. Web search market","('Yahoo gain share', 'is in', 'U.S. Web search market')",Yahoo gain share,is in,U.S. Web search market,Yahoo gain share is in,is in U.S. Web search market,Yahoo gain share is in U.S. Web search market,2.7696229999999957,-0.3586569999999938
10,20070115 04:09 AM EST,Bebo hires Google exec to run international arm,"('Google exec', 'run', 'arm')",Google exec,run,arm,Google exec run,run arm,Google exec run arm,2.7696229999999957,-0.3586569999999938
11,20070116 04:56 AM EST,"Google, Yahoo gain share in U.S. Web search market","('Yahoo gain share', 'is in', 'U.S. Web search market')",Yahoo gain share,is in,U.S. Web search market,Yahoo gain share is in,is in U.S. Web search market,Yahoo gain share is in U.S. Web search market,2.7696229999999957,-0.3586569999999938
12,20070118 12:43 PM EST,"Belgian group warns Yahoo, awaits Google ruling","('group', 'warns', 'Yahoo')",group,warns,Yahoo,group warns,warns Yahoo,group warns Yahoo,-4.418441999999999,-4.70735099999996
14,20070122 05:01 PM EST,"Google to run video ads from BMG, Warner","('Google', 'run video ads from', 'BMG')",Google,run video ads from,BMG,Google run video ads from,run video ads from BMG,Google run video ads from BMG,2.251556000000022,-4.438354000000004
15,20070123 04:55 PM EST,"Google to run video ads from BMG, Warner","('Google', 'run video ads from', 'BMG')",Google,run video ads from,BMG,Google run video ads from,run video ads from BMG,Google run video ads from BMG,-5.833144999999973,-0.8916629999999657
17,20070124 05:12 PM EST,"Google to run video ads from BMG, Warner","('Google', 'run video ads from', 'BMG')",Google,run video ads from,BMG,Google run video ads from,run video ads from BMG,Google run video ads from BMG,1.8231659999999579,9.972625999999963
22,20070131 05:20 PM EST,"Google profit rises, revenue growth in line","('revenue growth', 'is in', 'line')",revenue growth,is in,line,revenue growth is in,is in line,revenue growth is in line,1.2403560000000198,3.576598999999959
24,20070131 04:27 PM EST,Google falls after posting results,"('Google', 'posting', 'results')",Google,posting,results,Google posting,posting results,Google posting results,1.2403560000000198,3.576598999999959
25,20070131 04:18 PM EST,Google shares fall 3.5 percent to $484 after Q4 net income gro,"('Google shares', 'fall', '3.5 percent')",Google shares,fall,3.5 percent,Google shares fall,fall 3.5 percent,Google shares fall 3.5 percent,1.2403560000000198,3.576598999999959
27,20070201 05:41 PM EST,Google shares fall despite analyst price upgrades,"('Google shares', 'fall despite', 'analyst price upgrades')",Google shares,fall despite,analyst price upgrades,Google shares fall despite,fall despite analyst price upgrades,Google shares fall despite analyst price upgrades,4.737243999999976,-9.838133999999968
28,20070201 03:35 PM EST,Google shares fall despite analyst price upgrades,"('Google shares', 'fall despite', 'analyst price upgrades')",Google shares,fall despite,analyst price upgrades,Google shares fall despite,fall despite analyst price upgrades,Google shares fall despite analyst price upgrades,4.737243999999976,-9.838133999999968
29,20070201 11:17 AM EST,"US STOCKS-Indexes cut gains, Nasdaq turns down with Google","('US STOCKS Indexes', 'cut', 'gains')",US STOCKS Indexes,cut,gains,US STOCKS Indexes cut,cut gains,US STOCKS Indexes cut gains,4.737243999999976,-9.838133999999968
30,20070201 11:02 AM EST,"US STOCKS-Indexes inch up on profits, Google, ISM weigh","('ISM', 'weigh on', 'profits')",ISM,weigh on,profits,ISM weigh on,weigh on profits,ISM weigh on profits,4.737243999999976,-9.838133999999968
32,20070201 09:22 AM EST,UPDATE 1-RESEARCH ALERT-Goldman raises Google price target,"('UPDATE 1 RESEARCH ALERT Goldman', 'raises', 'Google price target')",UPDATE 1 RESEARCH ALERT Goldman,raises,Google price target,UPDATE 1 RESEARCH ALERT Goldman raises,raises Google price target,UPDATE 1 RESEARCH ALERT Goldman raises Google price target,4.737243999999976,-9.838133999999968
33,20070201 02:53 AM EST,"Google profit rises, revenue growth fails to impress","('revenue growth', 'fails', 'impress')",revenue growth,fails,impress,revenue growth fails,fails impress,revenue growth fails impress,4.737243999999976,-9.838133999999968
34,20070202 08:21 PM EST,Google execs to get up to $1.5 mln more in bonuses,"('Google execs', 'get', '$ 1.5 mln more')",Google execs,get,$ 1.5 mln more,Google execs get,get $ 1.5 mln more,Google execs get $ 1.5 mln more,-11.651337000000012,-0.1245270000000005
35,20070204 06:50 AM EST,Google execs to get up to $1.5 mln more in bonuses,"('Google execs', 'get', '$ 1.5 mln more')",Google execs,get,$ 1.5 mln more,Google execs get,get $ 1.5 mln more,Google execs get $ 1.5 mln more,-2.5454560000000015,-7.143235000000004
36,20070205 08:37 PM EST,Princeton libraries join Google book-scan project,"('Princeton libraries', 'join', 'Google book scan project')",Princeton libraries,join,Google book scan project,Princeton libraries join,join Google book scan project,Princeton libraries join Google book scan project,-2.5454560000000015,-7.143235000000004
37,20070205 02:09 AM EST,Google execs to get up to $1.5 mln more in bonuses,"('Google execs', 'get', '$ 1.5 mln more')",Google execs,get,$ 1.5 mln more,Google execs get,get $ 1.5 mln more,Google execs get $ 1.5 mln more,-2.5454560000000015,-7.143235000000004
38,20070206 06:51 AM EST,REFILE-Google's YouTube to warn Japanese users on piracy,"('YouTube', 'warn', 'users')",YouTube,warn,users,YouTube warn,warn users,YouTube warn users,-4.682448999999963,2.151947000000007
39,20070207 06:56 PM EST,Google and cable firms warn of risks from Web TV,"('Google firms', 'warn of', 'risks')",Google firms,warn of,risks,Google firms warn of,warn of risks,Google firms warn of risks,2.84931899999998,-0.7322690000000307
40,20070208 09:42 AM EST,Google and cable firms warn of risks from Web TV,"('Google firms', 'warn of', 'risks')",Google firms,warn of,risks,Google firms warn of,warn of risks,Google firms warn of risks,-2.8742210000000057,0.5081030000000055
41,20070208 09:08 AM EST,INTERVIEW-UNEP wants to build on Google partnership success,"('INTERVIEW UNEP', 'wants', 'to build')",INTERVIEW UNEP,wants,to build,INTERVIEW UNEP wants,wants to build,INTERVIEW UNEP wants to build,-2.8742210000000057,0.5081030000000055
42,20070208 02:04 AM EST,YouTube founders split $650 mln in Google payday,"('YouTube founders', 'split', '$ 650 mln')",YouTube founders,split,$ 650 mln,YouTube founders split,split $ 650 mln,YouTube founders split $ 650 mln,-2.8742210000000057,0.5081030000000055
43,20070212 08:06 AM EST,Studios say Google benefits from piracy: report,"('Studios', 'say', 'Google benefits from piracy')",Studios,say,Google benefits from piracy,Studios say,say Google benefits from piracy,Studios say Google benefits from piracy,-5.464507999999995,-1.7932739999999683
44,20070212 04:00 AM EST,"Google adds online Map, Word services to China site","('online Map', 'services to', 'China site')",online Map,services to,China site,online Map services to,services to China site,online Map services to China site,-5.464507999999995,-1.7932739999999683
45,20070213 05:55 PM EST,"EBay pleased with Yahoo ads, as Google tests start","('EBay', 'pleased', 'as Google tests start')",EBay,pleased,as Google tests start,EBay pleased,pleased as Google tests start,EBay pleased as Google tests start,-0.7621460000000013,0.40348799999998164
47,20070213 05:17 AM EST,Google says to appeal Belgian judgment,"('Google', 'says', 'appeal')",Google,says,appeal,Google says,says appeal,Google says appeal,-0.7621460000000013,0.40348799999998164
49,20070213 01:20 AM EST,Studios accuse Google of benefiting from piracy-WSJ,"('Studios', 'accuse Google of', 'benefiting')",Studios,accuse Google of,benefiting,Studios accuse Google of,accuse Google of benefiting,Studios accuse Google of benefiting,-0.7621460000000013,0.40348799999998164
51,20070214 01:49 AM EST,"EBay pleased with Yahoo ads, as Google tests start","('EBay', 'pleased', 'as Google tests start')",EBay,pleased,as Google tests start,EBay pleased,pleased as Google tests start,EBay pleased as Google tests start,0.4234170000000006,3.4022370000000137
52,20070216 08:07 PM EST,Google said ready to buy Adscape,"('Google', 'said', 'ready')",Google,said,ready,Google said,said ready,Google said ready,-1.594023999999962,4.219177000000002
53,20070216 05:44 PM EST,Google said ready to buy Adscape,"('Google', 'said', 'ready')",Google,said,ready,Google said,said ready,Google said ready,-1.594023999999962,4.219177000000002
54,20070217 08:23 PM EST,"Science needs entrepreneurs, Google founder says","('Science', 'needs', 'Google founder')",Science,needs,Google founder,Science needs,needs Google founder,Science needs Google founder,-1.594023999999962,4.219177000000002
55,20070217 02:29 PM EST,Judge weighs dismissal of Google trademark case,"('Judge', 'weighs', 'dismissal')",Judge,weighs,dismissal,Judge weighs,weighs dismissal,Judge weighs dismissal,-1.594023999999962,4.219177000000002
56,20070218 03:17 PM EST,Judge weighs dismissal of Google trademark case,"('Judge', 'weighs', 'dismissal')",Judge,weighs,dismissal,Judge weighs,weighs dismissal,Judge weighs dismissal,-1.594023999999962,4.219177000000002
57,20070218 01:41 PM EST,Google said ready to buy Adscape,"('Google', 'said', 'ready')",Google,said,ready,Google said,said ready,Google said ready,-1.594023999999962,4.219177000000002
58,20070219 06:40 PM EST,Google said ready to buy Adscape,"('Google', 'said', 'ready')",Google,said,ready,Google said,said ready,Google said ready,2.8244169999999826,1.0759729999999763
59,20070219 07:34 AM EST,"Science needs entrepreneurs, Google founder says","('Science', 'needs', 'Google founder')",Science,needs,Google founder,Science needs,needs Google founder,Science needs Google founder,2.8244169999999826,1.0759729999999763
60,20070219 04:36 AM EST,US judge weighs dismissal of Google trademark case,"('US judge', 'weighs', 'dismissal of Google trademark case')",US judge,weighs,dismissal of Google trademark case,US judge weighs,weighs dismissal of Google trademark case,US judge weighs dismissal of Google trademark case,2.8244169999999826,1.0759729999999763
61,20070220 12:28 AM EST,Google said ready to buy Adscape,"('Google', 'said', 'ready')",Google,said,ready,Google said,said ready,Google said ready,2.8244169999999826,1.0759729999999763
62,20070221 10:20 PM EST,Google sees video anti-piracy tools as priority,"('Google', 'sees', 'video anti-piracy tools')",Google,sees,video anti-piracy tools,Google sees,sees video anti-piracy tools,Google sees video anti-piracy tools,0.6824489999999628,1.8729710000000068
63,20070221 08:59 PM EST,Google sees video anti-piracy tools as priority,"('Google', 'sees', 'video anti-piracy tools')",Google,sees,video anti-piracy tools,Google sees,sees video anti-piracy tools,Google sees video anti-piracy tools,0.6824489999999628,1.8729710000000068
65,20070222 10:05 PM EST,Google sees video anti-piracy tools as priority,"('Google', 'sees', 'video anti-piracy tools')",Google,sees,video anti-piracy tools,Google sees,sees video anti-piracy tools,Google sees video anti-piracy tools,4.408478000000031,-0.0049740000000326745
66,20070222 03:47 PM EST,Google sees video anti-piracy tools as priority,"('Google', 'sees', 'video anti-piracy tools')",Google,sees,video anti-piracy tools,Google sees,sees video anti-piracy tools,Google sees video anti-piracy tools,4.408478000000031,-0.0049740000000326745
67,20070222 06:46 AM EST,Google offers business software via subscription,"('Google', 'offers', 'business software')",Google,offers,business software,Google offers,offers business software,Google offers business software,4.408478000000031,-0.0049740000000326745
68,20070222 04:47 AM EST,Google sees video anti-piracy tools as priority,"('Google', 'sees', 'video anti-piracy tools')",Google,sees,video anti-piracy tools,Google sees,sees video anti-piracy tools,Google sees video anti-piracy tools,4.408478000000031,-0.0049740000000326745
69,20070222 03:02 AM EST,Google confirms new business version of popular hosted applications,"('Google', 'confirms', 'business version of applications')",Google,confirms,business version of applications,Google confirms,confirms business version of applications,Google confirms business version of applications,4.408478000000031,-0.0049740000000326745
70,20070226 09:01 PM EST,RPT-Gmail domain dispute looms for Google in China,"('RPT Gmail domain dispute', 'looms in', 'China')",RPT Gmail domain dispute,looms in,China,RPT Gmail domain dispute looms in,looms in China,RPT Gmail domain dispute looms in China,-1.4545439999999985,-2.83436599999996
71,20070226 10:58 AM EST,Gmail domain dispute looms for Google in China,"('Gmail domain dispute', 'looms in', 'China')",Gmail domain dispute,looms in,China,Gmail domain dispute looms in,looms in China,Gmail domain dispute looms in China,-1.4545439999999985,-2.83436599999996
72,20070226 06:24 AM EST,"Google in video talks with Dow Jones, others: NYT","('video talks', 'is with', 'Dow Jones')",video talks,is with,Dow Jones,video talks is with,is with Dow Jones,video talks is with Dow Jones,-1.4545439999999985,-2.83436599999996
74,20070227 05:19 PM EST,"Microsoft says Google success a ""wake-up call""","('Microsoft', 'says', 'Google success')",Microsoft,says,Google success,Microsoft says,says Google success,Microsoft says Google success,-8.881714000000017,-8.04983500000003
75,20070227 05:58 AM EST,Gmail domain dispute looms for Google in China,"('Gmail domain dispute', 'looms in', 'China')",Gmail domain dispute,looms in,China,Gmail domain dispute looms in,looms in China,Gmail domain dispute looms in China,-8.881714000000017,-8.04983500000003
79,20070302 01:41 PM EST,Google's YouTube signing smaller partnerships: paper,"(""Google 's YouTube"", 'signing', 'smaller partnerships')",Google 's YouTube,signing,smaller partnerships,Google 's YouTube signing,signing smaller partnerships,Google 's YouTube signing smaller partnerships,1.2154390000000035,-4.757156000000009
80,20070302 05:24 AM EST,Google says in dispute with SEC on tax accounting,"('Google', 'says in', 'dispute with SEC on tax accounting')",Google,says in,dispute with SEC on tax accounting,Google says in,says in dispute with SEC on tax accounting,Google says in dispute with SEC on tax accounting,1.2154390000000035,-4.757156000000009
84,20070306 08:10 PM EST,Microsoft to blast Google over copyright policy,"('Microsoft', 'blast', 'Google')",Microsoft,blast,Google,Microsoft blast,blast Google,Microsoft blast Google,5.2054899999999975,8.269012000000032
85,20070306 07:28 AM EST,Microsoft to blast Google over copyright policy,"('Microsoft', 'blast', 'Google')",Microsoft,blast,Google,Microsoft blast,blast Google,Microsoft blast Google,5.2054899999999975,8.269012000000032
86,20070306 05:36 AM EST,"Google CEO discounts mergers, sees more Apple ties","('Google CEO discounts mergers', 'sees', 'Apple ties')",Google CEO discounts mergers,sees,Apple ties,Google CEO discounts mergers sees,sees Apple ties,Google CEO discounts mergers sees Apple ties,5.2054899999999975,8.269012000000032
88,20070307 04:24 PM EST,Cuban's film studio subpoenas Google over videos,"(""Cuban 's film studio subpoenas"", 'Google over', 'videos')",Cuban 's film studio subpoenas,Google over,videos,Cuban 's film studio subpoenas Google over,Google over videos,Cuban 's film studio subpoenas Google over videos,7.581572999999992,-0.9514310000000137
90,20070307 01:18 PM EST,Google Book Search wins backing of German library,"('Google Book Search', 'wins', 'backing')",Google Book Search,wins,backing,Google Book Search wins,wins backing,Google Book Search wins backing,7.581572999999992,-0.9514310000000137
92,20070307 06:13 AM EST,Friendster makes Google its ad and search supplier,"('Friendster', 'makes', 'Google')",Friendster,makes,Google,Friendster makes,makes Google,Friendster makes Google,7.581572999999992,-0.9514310000000137
93,20070308 02:33 PM EST,"Wikipedia founder says to challenge Google, Yahoo","('Wikipedia founder', 'challenge', 'Yahoo')",Wikipedia founder,challenge,Yahoo,Wikipedia founder challenge,challenge Yahoo,Wikipedia founder challenge Yahoo,-1.7285149999999874,-0.45828300000002287
94,20070308 12:58 PM EST,"Google Earth urged to remove ""Mount Hitler"" name","('Google Earth', 'remove', 'name')",Google Earth,remove,name,Google Earth remove,remove name,Google Earth remove name,-1.7285149999999874,-0.45828300000002287
95,20070308 10:57 AM EST,Cuban's film studio subpoenas Google over videos,"(""Cuban 's film studio subpoenas"", 'Google over', 'videos')",Cuban 's film studio subpoenas,Google over,videos,Cuban 's film studio subpoenas Google over,Google over videos,Cuban 's film studio subpoenas Google over videos,-1.7285149999999874,-0.45828300000002287
97,20070309 08:36 AM EST,"Google Earth urged to remove ""Mount Hitler"" name","('Google Earth', 'remove', 'name')",Google Earth,remove,name,Google Earth remove,remove name,Google Earth remove name,-0.6077269999999828,-0.8767239999999674
98,20070309 05:38 AM EST,"Wikipedia founder says to challenge Google, Yahoo","('Wikipedia founder', 'challenge', 'Yahoo')",Wikipedia founder,challenge,Yahoo,Wikipedia founder challenge,challenge Yahoo,Wikipedia founder challenge Yahoo,-0.6077269999999828,-0.8767239999999674
99,20070313 07:23 PM EDT,"Viacom in $1 billion copyright suit versus Google, YouTube","('$ 1 billion copyright suit', 'in Viacom is', 'YouTube')",$ 1 billion copyright suit,in Viacom is,YouTube,$ 1 billion copyright suit in Viacom is,in Viacom is YouTube,$ 1 billion copyright suit in Viacom is YouTube,-1.225418000000019,-5.838120000000032
100,20070313 07:23 PM EDT,Google confident digital liability law protects it,"('Google confident liability law', 'protects', 'it')",Google confident liability law,protects,it,Google confident liability law protects,protects it,Google confident liability law protects it,-1.225418000000019,-5.838120000000032
101,20070313 07:16 PM EDT,Google confident digital liability law protects it,"('Google confident liability law', 'protects', 'it')",Google confident liability law,protects,it,Google confident liability law protects,protects it,Google confident liability law protects it,-1.225418000000019,-5.838120000000032
102,20070313 05:45 PM EDT,"UPDATE 5-Viacom in $1 bln copyright suit vs Google, YouTube","('UPDATE 5 Viacom', 'is in', '$ 1 bln copyright suit vs Google')",UPDATE 5 Viacom,is in,$ 1 bln copyright suit vs Google,UPDATE 5 Viacom is in,is in $ 1 bln copyright suit vs Google,UPDATE 5 Viacom is in $ 1 bln copyright suit vs Google,-1.225418000000019,-5.838120000000032
103,20070313 12:20 PM EDT,Google vows Viacom suit will not distract YouTube,"('Google', 'vows', 'Viacom suit')",Google,vows,Viacom suit,Google vows,vows Viacom suit,Google vows Viacom suit,-1.225418000000019,-5.838120000000032
104,20070313 05:15 AM EDT,Google: Viacom files Federal copyright infringement complaint against YouTube and Google ,"('Viacom', 'files', 'copyright infringement complaint against YouTube')",Viacom,files,copyright infringement complaint against YouTube,Viacom files,files copyright infringement complaint against YouTube,Viacom files copyright infringement complaint against YouTube,-1.225418000000019,-5.838120000000032
105,20070313 12:39 PM EDT,Viacom sues Google for over $1B,"('Viacom', 'sues', 'Google')",Viacom,sues,Google,Viacom sues,sues Google,Viacom sues Google,-1.225418000000019,-5.838120000000032
106,20070314 10:53 AM EDT,Google confident digital liability law protects it,"('Google confident liability law', 'protects', 'it')",Google confident liability law,protects,it,Google confident liability law protects,protects it,Google confident liability law protects it,-3.4271540000000016,2.4757230000000163
107,20070314 08:41 AM EDT,Viacom's Google suit may spur others,"(""Viacom 's Google suit"", 'may spur', 'others')",Viacom 's Google suit,may spur,others,Viacom 's Google suit may spur,may spur others,Viacom 's Google suit may spur others,-3.4271540000000016,2.4757230000000163
108,20070314 08:31 AM EDT,"Viacom in $1 billion copyright suit versus Google, YouTube","('$ 1 billion copyright suit', 'in Viacom is', 'YouTube')",$ 1 billion copyright suit,in Viacom is,YouTube,$ 1 billion copyright suit in Viacom is,in Viacom is YouTube,$ 1 billion copyright suit in Viacom is YouTube,-3.4271540000000016,2.4757230000000163
109,20070314 04:22 AM EDT,"Viacom in $1 bln copyright suit vs Google, YouTube","('Viacom', 'is in', '$ 1 bln copyright suit vs Google')",Viacom,is in,$ 1 bln copyright suit vs Google,Viacom is in,is in $ 1 bln copyright suit vs Google,Viacom is in $ 1 bln copyright suit vs Google,-3.4271540000000016,2.4757230000000163
110,20070315 10:13 AM EDT,Google aims to bolster privacy of Web surfer data,"('Google', 'bolster', 'privacy')",Google,bolster,privacy,Google bolster,bolster privacy,Google bolster privacy,2.3063660000000255,-0.9016259999999932
111,20070315 08:37 AM EDT,UPDATE 1-RESEARCH ALERT-RBC raises Q1 forecasts for Google,"('UPDATE 1 RESEARCH ALERT RBC', 'raises', 'Q1 forecasts')",UPDATE 1 RESEARCH ALERT RBC,raises,Q1 forecasts,UPDATE 1 RESEARCH ALERT RBC raises,raises Q1 forecasts,UPDATE 1 RESEARCH ALERT RBC raises Q1 forecasts,2.3063660000000255,-0.9016259999999932
112,20070315 04:26 AM EDT,"Viacom in $1 billion copyright suit versus Google, YouTube","('$ 1 billion copyright suit', 'in Viacom is', 'YouTube')",$ 1 billion copyright suit,in Viacom is,YouTube,$ 1 billion copyright suit in Viacom is,in Viacom is YouTube,$ 1 billion copyright suit in Viacom is YouTube,2.3063660000000255,-0.9016259999999932
113,20070318 05:36 PM EDT,Google buys video game ad firm Adscape,"('Google', 'buys', 'video game ad firm Adscape')",Google,buys,video game ad firm Adscape,Google buys,buys video game ad firm Adscape,Google buys video game ad firm Adscape,-1.1955260000000294,3.17808500000001
114,20070318 04:56 PM EDT,Google buys video game ad firm Adscape,"('Google', 'buys', 'video game ad firm Adscape')",Google,buys,video game ad firm Adscape,Google buys,buys video game ad firm Adscape,Google buys video game ad firm Adscape,-1.1955260000000294,3.17808500000001
115,20070319 10:38 PM EDT,Google signs software deals in two African nations,"('Google signs software deals', 'is in', 'two African nations')",Google signs software deals,is in,two African nations,Google signs software deals is in,is in two African nations,Google signs software deals is in two African nations,-1.1955260000000294,3.17808500000001
117,20070319 08:32 AM EDT,Google buys video game ad firm Adscape,"('Google', 'buys', 'video game ad firm Adscape')",Google,buys,video game ad firm Adscape,Google buys,buys video game ad firm Adscape,Google buys video game ad firm Adscape,-1.1955260000000294,3.17808500000001
118,20070319 02:28 AM EDT,Google buys video game ad firm Adscape,"('Google', 'buys', 'video game ad firm Adscape')",Google,buys,video game ad firm Adscape,Google buys,buys video game ad firm Adscape,Google buys video game ad firm Adscape,-1.1955260000000294,3.17808500000001
119,20070320 10:27 PM EDT,U.S. judge throws out defamation suit against Google,"('U.S. judge', 'throws out', 'defamation suit')",U.S. judge,throws out,defamation suit,U.S. judge throws out,throws out defamation suit,U.S. judge throws out defamation suit,1.2652589999999861,-0.9713590000000352
120,20070320 06:53 PM EDT,U.S. judge throws out defamation suit against Google,"('U.S. judge', 'throws out', 'defamation suit')",U.S. judge,throws out,defamation suit,U.S. judge throws out,throws out defamation suit,U.S. judge throws out defamation suit,1.2652589999999861,-0.9713590000000352
121,20070320 06:41 PM EDT,US judge throws out defamation suit against Google,"('US judge', 'throws out defamation suit against', 'Google')",US judge,throws out defamation suit against,Google,US judge throws out defamation suit against,throws out defamation suit against Google,US judge throws out defamation suit against Google,1.2652589999999861,-0.9713590000000352
122,20070320 02:22 AM EDT,Yahoo jumps ahead of Google on mobile phone search,"('Yahoo', 'jumps ahead on', 'mobile phone search')",Yahoo,jumps ahead on,mobile phone search,Yahoo jumps ahead on,jumps ahead on mobile phone search,Yahoo jumps ahead on mobile phone search,1.2652589999999861,-0.9713590000000352
123,20070321 01:03 PM EDT,Google share gains quicken in U.S. search market,"('Google share gains', 'quicken in', 'U.S. search market')",Google share gains,quicken in,U.S. search market,Google share gains quicken in,quicken in U.S. search market,Google share gains quicken in U.S. search market,-0.24407999999999674,5.613953000000009
124,20070321 12:49 AM EDT,Judge throws out suit vs Google,"('Judge', 'throws out suit vs', 'Google')",Judge,throws out suit vs,Google,Judge throws out suit vs,throws out suit vs Google,Judge throws out suit vs Google,-0.24407999999999674,5.613953000000009
125,20070322 09:00 PM EDT,UPDATE 1-Sequoia's Michael Moritz to leave Google board,"(""1 Sequoia 's Michael Moritz"", 'leave', 'Google board')",1 Sequoia 's Michael Moritz,leave,Google board,1 Sequoia 's Michael Moritz leave,leave Google board,1 Sequoia 's Michael Moritz leave Google board,5.135741999999993,2.7347560000000044
126,20070322 06:57 PM EDT,Control of advertiser at stake in Media vs Google,"('stake', 'is in', 'Media')",stake,is in,Media,stake is in,is in Media,stake is in Media,5.135741999999993,2.7347560000000044
129,20070323 11:58 AM EDT,Control of advertiser at stake in Media vs Google,"('stake', 'is in', 'Media')",stake,is in,Media,stake is in,is in Media,stake is in Media,2.9091040000000135,-0.10461399999999799
131,20070327 07:10 PM EDT,Google seeks world of instant translations,"('Google', 'seeks', 'world of instant translations')",Google,seeks,world of instant translations,Google seeks,seeks world of instant translations,Google seeks world of instant translations,1.494400000000013,-0.6874239999999929
132,20070328 12:03 PM EDT,Google seeks world of instant translations,"('Google', 'seeks', 'world of instant translations')",Google,seeks,world of instant translations,Google seeks,seeks world of instant translations,Google seeks world of instant translations,-0.8368680000000381,-0.8667599999999993
133,20070328 11:04 AM EDT,"UPDATE 1-RESEARCH ALERT-AG Edwards starts Google, Yahoo","('UPDATE 1 RESEARCH ALERT AG Edwards', 'starts', 'Google')",UPDATE 1 RESEARCH ALERT AG Edwards,starts,Google,UPDATE 1 RESEARCH ALERT AG Edwards starts,starts Google,UPDATE 1 RESEARCH ALERT AG Edwards starts Google,-0.8368680000000381,-0.8667599999999993
134,20070328 08:05 AM EDT,S.Korea's LG Elec to add Google services to phones,"(""S.Korea 's LG Elec"", 'add Google services to', 'phones')",S.Korea 's LG Elec,add Google services to,phones,S.Korea 's LG Elec add Google services to,add Google services to phones,S.Korea 's LG Elec add Google services to phones,-0.8368680000000381,-0.8667599999999993
135,20070328 02:13 AM EDT,S.Korea's LG Elec to add Google services to phones,"(""S.Korea 's LG Elec"", 'add Google services to', 'phones')",S.Korea 's LG Elec,add Google services to,phones,S.Korea 's LG Elec add Google services to,add Google services to phones,S.Korea 's LG Elec add Google services to phones,-0.8368680000000381,-0.8667599999999993
136,20070329 04:46 PM EDT,Google's world of instant translations,"('Google', 'has', 'world of instant translations')",Google,has,world of instant translations,Google has,has world of instant translations,Google has world of instant translations,1.3349910000000307,-0.4781950000000279
139,20070403 04:53 PM EDT,Google enters TV ad sales market with EchoStar,"('Google', 'enters TV ad sales market with', 'EchoStar')",Google,enters TV ad sales market with,EchoStar,Google enters TV ad sales market with,enters TV ad sales market with EchoStar,Google enters TV ad sales market with EchoStar,3.1332549999999912,7.008727999999991
140,20070403 02:48 PM EDT,"After search, Google finds snake in NY office","('Google', 'finds', 'snake in NY office')",Google,finds,snake in NY office,Google finds,finds snake in NY office,Google finds snake in NY office,3.1332549999999912,7.008727999999991
141,20070403 08:02 AM EDT,EchoStar confirms partnership with Google on new TV advertising system,"('EchoStar', 'confirms', 'partnership')",EchoStar,confirms,partnership,EchoStar confirms,confirms partnership,EchoStar confirms partnership,3.1332549999999912,7.008727999999991
142,20070403 05:23 AM EDT,Google enters TV ad sales market with EchoStar,"('Google', 'enters TV ad sales market with', 'EchoStar')",Google,enters TV ad sales market with,EchoStar,Google enters TV ad sales market with,enters TV ad sales market with EchoStar,Google enters TV ad sales market with EchoStar,3.1332549999999912,7.008727999999991
